model,strategy,accuracy,precision,recall,f1
XGBoost,original,1.0,1.0,1.0,1.0
Logistic,original,1.0,1.0,1.0,1.0
BILSTM,original,0.9985250737463127,1.0,0.9975124378109452,0.9987546699875467
TRANSFORMER,original,1.0,1.0,1.0,1.0
BILSTM,attacked,0.9985250737463127,1.0,0.9975124378109452,0.9987546699875467
TRANSFORMER,attacked,1.0,1.0,1.0,1.0
BILSTM,trust,0.9985250737463127,1.0,0.9975124378109452,0.9987546699875467
TRANSFORMER,trust,1.0,1.0,1.0,1.0
BILSTM,urgency,1.0,1.0,1.0,1.0
TRANSFORMER,urgency,1.0,1.0,1.0,1.0
BILSTM,emotion,1.0,1.0,1.0,1.0
TRANSFORMER,emotion,1.0,1.0,1.0,1.0
BILSTM,authority,1.0,1.0,1.0,1.0
TRANSFORMER,authority,1.0,1.0,1.0,1.0
BILSTM,comprehensive,1.0,1.0,1.0,1.0
TRANSFORMER,comprehensive,1.0,1.0,1.0,1.0
